,paragraph,guide_id,paragraph_id,possible_citations
30,"Likewise, in the context of individuals carrying out military service, the Court has underlined that, as with persons in custody, conscripts and contractual military servicemen, whose conditions of life and service correspond to those of conscripts, are within the exclusive control of the authorities of the State and that the authorities are under a duty to protect them (Beker v. Turkey, 2009, §§ 41-42; Mosendz v. Ukraine, 2013, § 92; Boychenko v. Russia, 2021, § 80).",guide_art_2_eng,31,"{""001-204603"": ""CASE OF KOTILAINEN AND OTHERS v. FINLAND"", ""001-208877"": ""CASE OF RIBCHEVA AND OTHERS v. BULGARIA"", ""001-216360"": ""CASE OF Y AND OTHERS v. BULGARIA"", ""001-216854"": ""AFFAIRE LANDI c. ITALIE"", ""001-88972"": ""CASE OF RENOLDE v. FRANCE"", ""001-59365"": ""CASE OF KEENAN v. THE UNITED KINGDOM"", ""001-91841"": ""CASE OF BEKER v. TURKEY"", ""001-115887"": ""CASE OF MOSENDZ v. UKRAINE"", ""001-212129"": ""CASE OF BOYCHENKO v. RUSSIA"", ""001-203590"": ""AFFAIRE S.F. c. SUISSE"", ""001-189426"": ""CASE OF FERNANDES DE OLIVEIRA v. PORTUGAL"", ""001-22964"": ""YOUNGER v. THE UNITED KINGDOM"", ""001-120965"": ""CASE OF EREMI\u00c1\u0160OV\u00c1 AND PECHOV\u00c1 v. THE CZECH REPUBLIC"", ""001-126907"": ""CASE OF KELLER v. RUSSIA"", ""001-69616"": ""CASE OF TRUBNIKOV v. RUSSIA"", ""001-70631"": ""AFFAIRE AKDO\u011eDU c. TURQUIE"", ""001-107737"": ""AFFAIRE DE DONDER ET DE CLIPPEL c. BELGIQUE"", ""001-112285"": ""AFFAIRE KETREB c. FRANCE"", ""001-115144"": ""CASE OF VOLK v. SLOVENIA"", ""001-116064"": ""CASE OF MITI\u0106 v. SERBIA"", ""001-69269"": ""AFFAIRE KILIN\u00c7 ET AUTRES c. TURQUIE"", ""001-75206"": ""AFFAIRE ATAMAN c. TURQUIE"", ""001-142516"": ""CASE OF PEREVEDENTSEVY v. RUSSIA"", ""001-173776"": ""CASE OF MALIK BABAYEV v. AZERBAIJAN"", ""001-109544"": ""CASE OF REYNOLDS v. THE UNITED KINGDOM"", ""001-168781"": ""CASE OF HILLER v. AUSTRIA"", ""001-96337"": ""CASE OF MIKAYIL MAMMADOV v. AZERBAIJAN""}"
31,"Persons with mental disabilities are considered to constitute a particularly vulnerable group who require protection from self-harm (Renolde v. France, 2008, § 84 and S.F. v. Switzerland, 2020, § 78).",guide_art_2_eng,32,"{""001-91841"": ""CASE OF BEKER v. TURKEY"", ""001-115887"": ""CASE OF MOSENDZ v. UKRAINE"", ""001-212129"": ""CASE OF BOYCHENKO v. RUSSIA"", ""001-88972"": ""CASE OF RENOLDE v. FRANCE"", ""001-203590"": ""AFFAIRE S.F. c. SUISSE"", ""001-189426"": ""CASE OF FERNANDES DE OLIVEIRA v. PORTUGAL"", ""001-22964"": ""YOUNGER v. THE UNITED KINGDOM"", ""001-120965"": ""CASE OF EREMI\u00c1\u0160OV\u00c1 AND PECHOV\u00c1 v. THE CZECH REPUBLIC"", ""001-126907"": ""CASE OF KELLER v. RUSSIA"", ""001-69616"": ""CASE OF TRUBNIKOV v. RUSSIA"", ""001-70631"": ""AFFAIRE AKDO\u011eDU c. TURQUIE"", ""001-107737"": ""AFFAIRE DE DONDER ET DE CLIPPEL c. BELGIQUE"", ""001-112285"": ""AFFAIRE KETREB c. FRANCE"", ""001-115144"": ""CASE OF VOLK v. SLOVENIA"", ""001-116064"": ""CASE OF MITI\u0106 v. SERBIA"", ""001-69269"": ""AFFAIRE KILIN\u00c7 ET AUTRES c. TURQUIE"", ""001-75206"": ""AFFAIRE ATAMAN c. TURQUIE"", ""001-142516"": ""CASE OF PEREVEDENTSEVY v. RUSSIA"", ""001-173776"": ""CASE OF MALIK BABAYEV v. AZERBAIJAN"", ""001-109544"": ""CASE OF REYNOLDS v. THE UNITED KINGDOM"", ""001-168781"": ""CASE OF HILLER v. AUSTRIA"", ""001-96337"": ""CASE OF MIKAYIL MAMMADOV v. AZERBAIJAN""}"
32,"In particular, the authorities have a general operational duty to take reasonable measures to prevent a person from self-harm, irrespective of whether there has been voluntary or involuntary hospitalisations. In this respect, the specific measures required will depend on the particular circumstances of the case, and those specific circumstances will often differ depending on whether the patient is voluntarily or involuntarily hospitalised. However, in the case of patients who are hospitalised following a judicial order, and therefore involuntarily, the Court, in its own assessment, may apply a stricter standard of scrutiny (Fernandes de Oliveira v. Portugal [GC], 2019, § 124).",guide_art_2_eng,33,"{""001-91841"": ""CASE OF BEKER v. TURKEY"", ""001-115887"": ""CASE OF MOSENDZ v. UKRAINE"", ""001-212129"": ""CASE OF BOYCHENKO v. RUSSIA"", ""001-88972"": ""CASE OF RENOLDE v. FRANCE"", ""001-203590"": ""AFFAIRE S.F. c. SUISSE"", ""001-189426"": ""CASE OF FERNANDES DE OLIVEIRA v. PORTUGAL"", ""001-22964"": ""YOUNGER v. THE UNITED KINGDOM"", ""001-120965"": ""CASE OF EREMI\u00c1\u0160OV\u00c1 AND PECHOV\u00c1 v. THE CZECH REPUBLIC"", ""001-126907"": ""CASE OF KELLER v. RUSSIA"", ""001-69616"": ""CASE OF TRUBNIKOV v. RUSSIA"", ""001-70631"": ""AFFAIRE AKDO\u011eDU c. TURQUIE"", ""001-107737"": ""AFFAIRE DE DONDER ET DE CLIPPEL c. BELGIQUE"", ""001-112285"": ""AFFAIRE KETREB c. FRANCE"", ""001-115144"": ""CASE OF VOLK v. SLOVENIA"", ""001-116064"": ""CASE OF MITI\u0106 v. SERBIA"", ""001-69269"": ""AFFAIRE KILIN\u00c7 ET AUTRES c. TURQUIE"", ""001-75206"": ""AFFAIRE ATAMAN c. TURQUIE"", ""001-142516"": ""CASE OF PEREVEDENTSEVY v. RUSSIA"", ""001-173776"": ""CASE OF MALIK BABAYEV v. AZERBAIJAN"", ""001-109544"": ""CASE OF REYNOLDS v. THE UNITED KINGDOM"", ""001-168781"": ""CASE OF HILLER v. AUSTRIA"", ""001-96337"": ""CASE OF MIKAYIL MAMMADOV v. AZERBAIJAN""}"
33,"Ultimately, for a positive obligation to arise where the risk to a person derives from self-harm, such as a suicide in custody or in a psychiatric hospital, it must be established that the authorities knew or ought to have known at the time of the existence of a real and immediate risk to the life of an identified individual and, if so, that they failed to take measures within the scope of their powers which, judged reasonably, might have been expected to avoid that risk (Younger v. the United Kingdom (dec.), 2003; Fernandes de Oliveira v. Portugal [GC], 2019, § 110).",guide_art_2_eng,34,"{""001-91841"": ""CASE OF BEKER v. TURKEY"", ""001-115887"": ""CASE OF MOSENDZ v. UKRAINE"", ""001-212129"": ""CASE OF BOYCHENKO v. RUSSIA"", ""001-88972"": ""CASE OF RENOLDE v. FRANCE"", ""001-203590"": ""AFFAIRE S.F. c. SUISSE"", ""001-189426"": ""CASE OF FERNANDES DE OLIVEIRA v. PORTUGAL"", ""001-22964"": ""YOUNGER v. THE UNITED KINGDOM"", ""001-120965"": ""CASE OF EREMI\u00c1\u0160OV\u00c1 AND PECHOV\u00c1 v. THE CZECH REPUBLIC"", ""001-126907"": ""CASE OF KELLER v. RUSSIA"", ""001-69616"": ""CASE OF TRUBNIKOV v. RUSSIA"", ""001-70631"": ""AFFAIRE AKDO\u011eDU c. TURQUIE"", ""001-107737"": ""AFFAIRE DE DONDER ET DE CLIPPEL c. BELGIQUE"", ""001-112285"": ""AFFAIRE KETREB c. FRANCE"", ""001-115144"": ""CASE OF VOLK v. SLOVENIA"", ""001-116064"": ""CASE OF MITI\u0106 v. SERBIA"", ""001-69269"": ""AFFAIRE KILIN\u00c7 ET AUTRES c. TURQUIE"", ""001-75206"": ""AFFAIRE ATAMAN c. TURQUIE"", ""001-142516"": ""CASE OF PEREVEDENTSEVY v. RUSSIA"", ""001-173776"": ""CASE OF MALIK BABAYEV v. AZERBAIJAN"", ""001-109544"": ""CASE OF REYNOLDS v. THE UNITED KINGDOM"", ""001-168781"": ""CASE OF HILLER v. AUSTRIA"", ""001-96337"": ""CASE OF MIKAYIL MAMMADOV v. AZERBAIJAN""}"
34,"In order to establish whether the authorities knew or ought to have known that the life of a particular individual was subject to a real and immediate risk, triggering the duty to take appropriate preventive measures, the Court takes into account a number of factors, including: i) whether the person had a history of mental health problems; ii) the gravity of the mental condition; iii) previous attempts to commit suicide or self-harm; iv) suicidal thoughts or threats; and v) signs of physical or mental distress (Fernandes de Oliveira v. Portugal [GC], 2019, § 115 and Boychenko v. Russia, 2021, § 80).",guide_art_2_eng,35,"{""001-91841"": ""CASE OF BEKER v. TURKEY"", ""001-115887"": ""CASE OF MOSENDZ v. UKRAINE"", ""001-212129"": ""CASE OF BOYCHENKO v. RUSSIA"", ""001-88972"": ""CASE OF RENOLDE v. FRANCE"", ""001-203590"": ""AFFAIRE S.F. c. SUISSE"", ""001-189426"": ""CASE OF FERNANDES DE OLIVEIRA v. PORTUGAL"", ""001-22964"": ""YOUNGER v. THE UNITED KINGDOM"", ""001-120965"": ""CASE OF EREMI\u00c1\u0160OV\u00c1 AND PECHOV\u00c1 v. THE CZECH REPUBLIC"", ""001-126907"": ""CASE OF KELLER v. RUSSIA"", ""001-69616"": ""CASE OF TRUBNIKOV v. RUSSIA"", ""001-70631"": ""AFFAIRE AKDO\u011eDU c. TURQUIE"", ""001-107737"": ""AFFAIRE DE DONDER ET DE CLIPPEL c. BELGIQUE"", ""001-112285"": ""AFFAIRE KETREB c. FRANCE"", ""001-115144"": ""CASE OF VOLK v. SLOVENIA"", ""001-116064"": ""CASE OF MITI\u0106 v. SERBIA"", ""001-69269"": ""AFFAIRE KILIN\u00c7 ET AUTRES c. TURQUIE"", ""001-75206"": ""AFFAIRE ATAMAN c. TURQUIE"", ""001-142516"": ""CASE OF PEREVEDENTSEVY v. RUSSIA"", ""001-173776"": ""CASE OF MALIK BABAYEV v. AZERBAIJAN"", ""001-109544"": ""CASE OF REYNOLDS v. THE UNITED KINGDOM"", ""001-168781"": ""CASE OF HILLER v. AUSTRIA"", ""001-96337"": ""CASE OF MIKAYIL MAMMADOV v. AZERBAIJAN""}"
35,"Moreover, the Court also reiterates that the obligation to protect the health and well-being of persons in detention clearly encompasses an obligation to protect the life of arrested and detained persons from a foreseeable danger (Eremiášová and Pechová v. the Czech Republic (revision), 2013, § 117; Keller v. Russia, 2013, § 88).",guide_art_2_eng,36,"{""001-91841"": ""CASE OF BEKER v. TURKEY"", ""001-115887"": ""CASE OF MOSENDZ v. UKRAINE"", ""001-212129"": ""CASE OF BOYCHENKO v. RUSSIA"", ""001-88972"": ""CASE OF RENOLDE v. FRANCE"", ""001-203590"": ""AFFAIRE S.F. c. SUISSE"", ""001-189426"": ""CASE OF FERNANDES DE OLIVEIRA v. PORTUGAL"", ""001-22964"": ""YOUNGER v. THE UNITED KINGDOM"", ""001-120965"": ""CASE OF EREMI\u00c1\u0160OV\u00c1 AND PECHOV\u00c1 v. THE CZECH REPUBLIC"", ""001-126907"": ""CASE OF KELLER v. RUSSIA"", ""001-69616"": ""CASE OF TRUBNIKOV v. RUSSIA"", ""001-70631"": ""AFFAIRE AKDO\u011eDU c. TURQUIE"", ""001-107737"": ""AFFAIRE DE DONDER ET DE CLIPPEL c. BELGIQUE"", ""001-112285"": ""AFFAIRE KETREB c. FRANCE"", ""001-115144"": ""CASE OF VOLK v. SLOVENIA"", ""001-116064"": ""CASE OF MITI\u0106 v. SERBIA"", ""001-69269"": ""AFFAIRE KILIN\u00c7 ET AUTRES c. TURQUIE"", ""001-75206"": ""AFFAIRE ATAMAN c. TURQUIE"", ""001-142516"": ""CASE OF PEREVEDENTSEVY v. RUSSIA"", ""001-173776"": ""CASE OF MALIK BABAYEV v. AZERBAIJAN"", ""001-109544"": ""CASE OF REYNOLDS v. THE UNITED KINGDOM"", ""001-168781"": ""CASE OF HILLER v. AUSTRIA"", ""001-96337"": ""CASE OF MIKAYIL MAMMADOV v. AZERBAIJAN""}"
36,"The duty to take preventive operational measures has arisen so far mainly in the following contexts:  detention in custody or in prison (Trubnikov v. Russia, 2005; Akdoğdu v. Turkey, 2005; De Donder and De Clippel v. Belgium, 2011; Ketreb v. France, 2012; Volk v. Slovenia, 2012; Mitić v. Serbia, 2013; Keller v. Russia, 2013; S.F. v. Switzerland, 2020);  compulsory military service (Kılınç and Others v. Turkey, 2005; Ataman v. Turkey, 2006; Perevedentsevy v. Russia, 2014; Malik Babayev v. Azerbaijan, 2017) or contractual military service (Boychenko v. Russia, 2021).  voluntary/involuntary psychiatric care (Reynolds v. the United Kingdom, 2012; Fernandes de Oliveira v. Portugal [GC], 2019; Hiller v. Austria, 2016).",guide_art_2_eng,37,"{""001-91841"": ""CASE OF BEKER v. TURKEY"", ""001-115887"": ""CASE OF MOSENDZ v. UKRAINE"", ""001-212129"": ""CASE OF BOYCHENKO v. RUSSIA"", ""001-88972"": ""CASE OF RENOLDE v. FRANCE"", ""001-203590"": ""AFFAIRE S.F. c. SUISSE"", ""001-189426"": ""CASE OF FERNANDES DE OLIVEIRA v. PORTUGAL"", ""001-22964"": ""YOUNGER v. THE UNITED KINGDOM"", ""001-120965"": ""CASE OF EREMI\u00c1\u0160OV\u00c1 AND PECHOV\u00c1 v. THE CZECH REPUBLIC"", ""001-126907"": ""CASE OF KELLER v. RUSSIA"", ""001-69616"": ""CASE OF TRUBNIKOV v. RUSSIA"", ""001-70631"": ""AFFAIRE AKDO\u011eDU c. TURQUIE"", ""001-107737"": ""AFFAIRE DE DONDER ET DE CLIPPEL c. BELGIQUE"", ""001-112285"": ""AFFAIRE KETREB c. FRANCE"", ""001-115144"": ""CASE OF VOLK v. SLOVENIA"", ""001-116064"": ""CASE OF MITI\u0106 v. SERBIA"", ""001-69269"": ""AFFAIRE KILIN\u00c7 ET AUTRES c. TURQUIE"", ""001-75206"": ""AFFAIRE ATAMAN c. TURQUIE"", ""001-142516"": ""CASE OF PEREVEDENTSEVY v. RUSSIA"", ""001-173776"": ""CASE OF MALIK BABAYEV v. AZERBAIJAN"", ""001-109544"": ""CASE OF REYNOLDS v. THE UNITED KINGDOM"", ""001-168781"": ""CASE OF HILLER v. AUSTRIA"", ""001-96337"": ""CASE OF MIKAYIL MAMMADOV v. AZERBAIJAN""}"
37,"In a case where the applicant’s wife set herself on fire in protest at a forced eviction, the Court held that, in a situation where an individual threatens to take his or her own life in plain view of State agents and, moreover, where this threat is an emotional reaction directly induced by the State agents’ actions or demands, the latter should treat this threat with the utmost seriousness as constituting an imminent risk to that individual’s life, regardless of how unexpected that threat might have been. In such circumstances, if the State agents become aware of such a threat sufficiently in advance, a positive obligation arises under Article 2 requiring them to prevent this threat from materialising by any means which are reasonable and feasible in the circumstances (Mikayil Mammadov v. Azerbaijan, 2009, § 115).",guide_art_2_eng,38,"{""001-91841"": ""CASE OF BEKER v. TURKEY"", ""001-115887"": ""CASE OF MOSENDZ v. UKRAINE"", ""001-212129"": ""CASE OF BOYCHENKO v. RUSSIA"", ""001-88972"": ""CASE OF RENOLDE v. FRANCE"", ""001-203590"": ""AFFAIRE S.F. c. SUISSE"", ""001-189426"": ""CASE OF FERNANDES DE OLIVEIRA v. PORTUGAL"", ""001-22964"": ""YOUNGER v. THE UNITED KINGDOM"", ""001-120965"": ""CASE OF EREMI\u00c1\u0160OV\u00c1 AND PECHOV\u00c1 v. THE CZECH REPUBLIC"", ""001-126907"": ""CASE OF KELLER v. RUSSIA"", ""001-69616"": ""CASE OF TRUBNIKOV v. RUSSIA"", ""001-70631"": ""AFFAIRE AKDO\u011eDU c. TURQUIE"", ""001-107737"": ""AFFAIRE DE DONDER ET DE CLIPPEL c. BELGIQUE"", ""001-112285"": ""AFFAIRE KETREB c. FRANCE"", ""001-115144"": ""CASE OF VOLK v. SLOVENIA"", ""001-116064"": ""CASE OF MITI\u0106 v. SERBIA"", ""001-69269"": ""AFFAIRE KILIN\u00c7 ET AUTRES c. TURQUIE"", ""001-75206"": ""AFFAIRE ATAMAN c. TURQUIE"", ""001-142516"": ""CASE OF PEREVEDENTSEVY v. RUSSIA"", ""001-173776"": ""CASE OF MALIK BABAYEV v. AZERBAIJAN"", ""001-109544"": ""CASE OF REYNOLDS v. THE UNITED KINGDOM"", ""001-168781"": ""CASE OF HILLER v. AUSTRIA"", ""001-96337"": ""CASE OF MIKAYIL MAMMADOV v. AZERBAIJAN""}"
38,"In the context of industrial activities, which the Court has deemed to be by their very nature dangerous, the Court has placed a special emphasis on regulations geared to the special features of the activity in question, particularly with regard to the level of the potential risk to human lives. It considered that they must govern the licensing, setting up, operation, security and supervision of the activity and must make it compulsory for all those concerned to take practical measures to ensure the effective protection of citizens whose lives might be endangered by the inherent risks.",guide_art_2_eng,39,"{""001-67614"": ""CASE OF \u00d6NERYILDIZ v. TURKEY"", ""001-85436"": ""CASE OF BUDAYEVA AND OTHERS v. RUSSIA"", ""001-109283"": ""CASE OF KOLYADENKO AND OTHERS v. RUSSIA"", ""001-138597"": ""CASE OF VILNES AND OTHERS v. NORWAY"", ""001-145790"": ""CASE OF BRINCAT AND OTHERS v. MALTA"", ""001-164669"": ""CASE OF MU\u010cIBABI\u0106 v. SERBIA"", ""001-101678"": ""CASE OF STOYANOVI v. BULGARIA"", ""001-60329"": ""CASE OF CALVELLI AND CIGLIO v. ITALY"", ""001-61887"": ""CASE OF VO v. FRANCE"", ""001-179556"": ""CASE OF LOPES DE SOUSA FERNANDES v. PORTUGAL""}"
39,"Among these preventive measures, a particular weight should be placed on the public’s right to information, as established in the case-law of the Convention institutions and relevant regulations must also provide for appropriate procedures, taking into account the technical aspects of the activity in question, for identifying shortcomings in the processes concerned and any errors committed by those responsible at different levels (Öneryıldız v. Turkey [GC], 2004, § 90; Budayeva and Others v. Russia, 2008, § 132; Kolyadenko and Others v. Russia, 2012, § 159).",guide_art_2_eng,40,"{""001-67614"": ""CASE OF \u00d6NERYILDIZ v. TURKEY"", ""001-85436"": ""CASE OF BUDAYEVA AND OTHERS v. RUSSIA"", ""001-109283"": ""CASE OF KOLYADENKO AND OTHERS v. RUSSIA"", ""001-138597"": ""CASE OF VILNES AND OTHERS v. NORWAY"", ""001-145790"": ""CASE OF BRINCAT AND OTHERS v. MALTA"", ""001-164669"": ""CASE OF MU\u010cIBABI\u0106 v. SERBIA"", ""001-101678"": ""CASE OF STOYANOVI v. BULGARIA"", ""001-60329"": ""CASE OF CALVELLI AND CIGLIO v. ITALY"", ""001-61887"": ""CASE OF VO v. FRANCE"", ""001-179556"": ""CASE OF LOPES DE SOUSA FERNANDES v. PORTUGAL""}"
40,"As to the choice of particular practical measures, the Court has consistently held that where the State is required to take positive measures, the choice of means is in principle a matter that falls within the Contracting State’s margin of appreciation. There are different avenues to ensure Convention rights, and even if the State has failed to apply one particular measure provided by domestic law, it may still fulfil its positive duty by other means. In this respect an impossible or disproportionate burden must not be imposed on the authorities without consideration being given, in particular, to the operational choices which they must make in terms of priorities and resources; this results from the wide margin of appreciation States enjoy, as the Court has previously held, in difficult social and technical spheres (Budayeva and Others v. Russia, 2008, §§ 134-135; Vilnes and Others v. Norway, 2013, § 220; Brincat and Others v. Malta, 2014, § 101).",guide_art_2_eng,41,"{""001-67614"": ""CASE OF \u00d6NERYILDIZ v. TURKEY"", ""001-85436"": ""CASE OF BUDAYEVA AND OTHERS v. RUSSIA"", ""001-109283"": ""CASE OF KOLYADENKO AND OTHERS v. RUSSIA"", ""001-138597"": ""CASE OF VILNES AND OTHERS v. NORWAY"", ""001-145790"": ""CASE OF BRINCAT AND OTHERS v. MALTA"", ""001-164669"": ""CASE OF MU\u010cIBABI\u0106 v. SERBIA"", ""001-101678"": ""CASE OF STOYANOVI v. BULGARIA"", ""001-60329"": ""CASE OF CALVELLI AND CIGLIO v. ITALY"", ""001-61887"": ""CASE OF VO v. FRANCE"", ""001-179556"": ""CASE OF LOPES DE SOUSA FERNANDES v. PORTUGAL""}"
41,"In assessing whether the respondent State complied with its positive obligation, the Court must consider the particular circumstances of the case, regard being had, among other elements, to the domestic legality of the authorities’ acts or omissions, the domestic decision-making process, including the appropriate investigations and studies, and the complexity of the issue, especially where conflicting Convention interests are involved. The scope of the positive obligations imputable to the State in the particular circumstances would depend on the origin of the threat and the extent to which one or the other risk is susceptible to mitigation (Budayeva and Others v. Russia, 2008, §§ 136-137; Kolyadenko and Others v. Russia, 2012, § 161).",guide_art_2_eng,42,"{""001-67614"": ""CASE OF \u00d6NERYILDIZ v. TURKEY"", ""001-85436"": ""CASE OF BUDAYEVA AND OTHERS v. RUSSIA"", ""001-109283"": ""CASE OF KOLYADENKO AND OTHERS v. RUSSIA"", ""001-138597"": ""CASE OF VILNES AND OTHERS v. NORWAY"", ""001-145790"": ""CASE OF BRINCAT AND OTHERS v. MALTA"", ""001-164669"": ""CASE OF MU\u010cIBABI\u0106 v. SERBIA"", ""001-101678"": ""CASE OF STOYANOVI v. BULGARIA"", ""001-60329"": ""CASE OF CALVELLI AND CIGLIO v. ITALY"", ""001-61887"": ""CASE OF VO v. FRANCE"", ""001-179556"": ""CASE OF LOPES DE SOUSA FERNANDES v. PORTUGAL""}"
42,"Whenever a State undertakes or organises dangerous activities, or authorises them, it must ensure through a system of rules and through sufficient control that the risk is reduced to a reasonable minimum (Mučibabić v. Serbia, 2016, § 126). If nevertheless damage arises, it will only amount to a breach of the State’s positive obligations if it was due to insufficient regulations or insufficient control, but not if the damage was caused through the negligent conduct of an individual or a concatenation of unfortunate events (Stoyanovi v. Bulgaria, 2010, § 61).",guide_art_2_eng,43,"{""001-67614"": ""CASE OF \u00d6NERYILDIZ v. TURKEY"", ""001-85436"": ""CASE OF BUDAYEVA AND OTHERS v. RUSSIA"", ""001-109283"": ""CASE OF KOLYADENKO AND OTHERS v. RUSSIA"", ""001-138597"": ""CASE OF VILNES AND OTHERS v. NORWAY"", ""001-145790"": ""CASE OF BRINCAT AND OTHERS v. MALTA"", ""001-164669"": ""CASE OF MU\u010cIBABI\u0106 v. SERBIA"", ""001-101678"": ""CASE OF STOYANOVI v. BULGARIA"", ""001-60329"": ""CASE OF CALVELLI AND CIGLIO v. ITALY"", ""001-61887"": ""CASE OF VO v. FRANCE"", ""001-179556"": ""CASE OF LOPES DE SOUSA FERNANDES v. PORTUGAL""}"
43,More detailed information can be found in the Case-Law Guide on the Environment.,guide_art_2_eng,44,"{""001-67614"": ""CASE OF \u00d6NERYILDIZ v. TURKEY"", ""001-85436"": ""CASE OF BUDAYEVA AND OTHERS v. RUSSIA"", ""001-109283"": ""CASE OF KOLYADENKO AND OTHERS v. RUSSIA"", ""001-138597"": ""CASE OF VILNES AND OTHERS v. NORWAY"", ""001-145790"": ""CASE OF BRINCAT AND OTHERS v. MALTA"", ""001-164669"": ""CASE OF MU\u010cIBABI\u0106 v. SERBIA"", ""001-101678"": ""CASE OF STOYANOVI v. BULGARIA"", ""001-60329"": ""CASE OF CALVELLI AND CIGLIO v. ITALY"", ""001-61887"": ""CASE OF VO v. FRANCE"", ""001-179556"": ""CASE OF LOPES DE SOUSA FERNANDES v. PORTUGAL""}"
44,"In the context of healthcare, the positive obligations require States to make regulations compelling hospitals, whether private or public, to adopt appropriate measures for the protection of patients’ lives (Calvelli and Ciglio v. Italy [GC], 2022, § 49; Vo v. France [GC], 2004, § 89; Lopes de Sousa Fernandes v. Portugal [GC], 2017, § 166).",guide_art_2_eng,45,"{""001-67614"": ""CASE OF \u00d6NERYILDIZ v. TURKEY"", ""001-85436"": ""CASE OF BUDAYEVA AND OTHERS v. RUSSIA"", ""001-109283"": ""CASE OF KOLYADENKO AND OTHERS v. RUSSIA"", ""001-138597"": ""CASE OF VILNES AND OTHERS v. NORWAY"", ""001-145790"": ""CASE OF BRINCAT AND OTHERS v. MALTA"", ""001-164669"": ""CASE OF MU\u010cIBABI\u0106 v. SERBIA"", ""001-101678"": ""CASE OF STOYANOVI v. BULGARIA"", ""001-60329"": ""CASE OF CALVELLI AND CIGLIO v. ITALY"", ""001-61887"": ""CASE OF VO v. FRANCE"", ""001-179556"": ""CASE OF LOPES DE SOUSA FERNANDES v. PORTUGAL""}"
45,"In this connection, the States’ obligation to regulate must be understood in a broader sense which includes the duty to ensure the effective functioning of that regulatory framework. The regulatory duties thus encompass necessary measures to ensure implementation, including supervision and enforcement (Lopes de Sousa Fernandes v. Portugal [GC], 2017, § 190).",guide_art_2_eng,46,"{""001-179556"": ""CASE OF LOPES DE SOUSA FERNANDES v. PORTUGAL"", ""001-5215"": ""POWELL v. THE UNITED KINGDOM"", ""001-84438"": ""CASE OF DODOV v. BULGARIA"", ""001-115305"": ""CASE OF KUDRA v. CROATIA"", ""001-59454"": ""CASE OF CYPRUS v. TURKEY"", ""001-114492"": ""CASE OF HRISTOZOV AND OTHERS v. BULGARIA "", ""001-118722"": ""CASE OF MEHMET \u015eENT\u00dcRK AND BEK\u0130R \u015eENT\u00dcRK v. TURKEY"", ""001-166481"": ""AFFAIRE AYDO\u011eDU c. TURQUIE""}"
46,"However, the question whether there has been a failure by the State in its regulatory duties calls for a concrete assessment of the alleged deficiencies rather than an abstract one. Therefore, the mere fact that the regulatory framework may be deficient in some respect is not sufficient in itself to raise an issue under Article 2 of the Convention. It must be shown to have operated to the patient’s detriment (Lopes de Sousa Fernandes v. Portugal [GC], 2017, § 188).",guide_art_2_eng,47,"{""001-179556"": ""CASE OF LOPES DE SOUSA FERNANDES v. PORTUGAL"", ""001-5215"": ""POWELL v. THE UNITED KINGDOM"", ""001-84438"": ""CASE OF DODOV v. BULGARIA"", ""001-115305"": ""CASE OF KUDRA v. CROATIA"", ""001-59454"": ""CASE OF CYPRUS v. TURKEY"", ""001-114492"": ""CASE OF HRISTOZOV AND OTHERS v. BULGARIA "", ""001-118722"": ""CASE OF MEHMET \u015eENT\u00dcRK AND BEK\u0130R \u015eENT\u00dcRK v. TURKEY"", ""001-166481"": ""AFFAIRE AYDO\u011eDU c. TURQUIE""}"
47,"The Court has underlined that even in cases where medical negligence was established, it would normally find a substantive violation of Article 2 only if the relevant regulatory framework failed to ensure proper protection of the patient’s life (Lopes de Sousa Fernandes v. Portugal [GC], 2017, § 187). In this connection, the Court considered that where a Contracting State has made adequate provision for securing high professional standards among health professionals and the protection of the lives of patients, matters such as an error of judgment on the part of a health professional or negligent coordination among health professionals in the treatment of a particular patient cannot be considered sufficient of themselves to call a Contracting State to account from the standpoint of its positive obligations under Article 2 of the Convention to protect life (Powell v. the United Kingdom (dec.), 2000; Dodov v. Bulgaria, 2008, § 82; Kudra v. Croatia, 2012, § 102; Lopes de Sousa Fernandes v. Portugal [GC], 2017, § 187).",guide_art_2_eng,48,"{""001-179556"": ""CASE OF LOPES DE SOUSA FERNANDES v. PORTUGAL"", ""001-5215"": ""POWELL v. THE UNITED KINGDOM"", ""001-84438"": ""CASE OF DODOV v. BULGARIA"", ""001-115305"": ""CASE OF KUDRA v. CROATIA"", ""001-59454"": ""CASE OF CYPRUS v. TURKEY"", ""001-114492"": ""CASE OF HRISTOZOV AND OTHERS v. BULGARIA "", ""001-118722"": ""CASE OF MEHMET \u015eENT\u00dcRK AND BEK\u0130R \u015eENT\u00dcRK v. TURKEY"", ""001-166481"": ""AFFAIRE AYDO\u011eDU c. TURQUIE""}"
